tempo,giocatore,x_pos,y_pos,velocita,sprint,passaggi_chiave,indice_incisivita
0,1,39.326712478973064,19.865836100394834,1.8114598712001184,0,0,3.622919742400237
0,2,99.8250021730412,24.912605343971038,2.1819775326258766,0,0,4.363955065251753
0,3,76.85936389019753,31.012758926758444,3.8269719554029575,0,0,7.653943910805915
0,4,62.859140840688845,53.391965374724926,6.78709239435191,1,0,23.574184788703818
0,5,16.381957246455833,13.577817186768462,6.576492590949324,1,1,31.15298518189865
0,6,16.379424635301277,34.96794181212559,6.453119645161818,1,0,22.906239290323636
0,7,6.0987792776609435,40.284190682618885,1.3718800369340163,0,0,2.7437600738680326
0,8,90.94849530636819,3.1586280649598453,2.2773123153428503,0,0,4.554624630685701
0,9,63.117076233036926,41.31304992929781,1.8994432224172715,0,1,11.798886444834544
0,10,74.34762066858478,11.595640410735824,1.9665415678116653,0,0,3.9330831356233307
0,11,2.161371901059257,4.423508322999007,0.9864695748233385,0,0,1.972939149646677
0,12,101.8405344770094,64.52421653322666,0.5218545057583958,0,1,9.04370901151679
0,13,87.40647728404429,65.66297824907004,1.3910097707392068,0,0,2.7820195414784137
0,14,22.295606621218997,54.97101967191936,5.708229999183839,0,0,11.416459998367678
0,15,19.091621556745565,20.713736303789208,5.103050176286911,0,0,10.206100352573822
0,16,19.25747353461055,6.641703752434103,0.5183125621386325,0,0,1.036625124277265
0,17,31.945435510751462,46.52784580282667,0.811083416675908,0,1,9.622166833351816
0,18,55.09942532138497,29.93036957429289,2.3162861739685443,0,0,4.632572347937089
0,19,45.354226957422156,8.298599969444961,2.1768762520096354,0,0,4.353752504019271
0,20,30.5790597207944,33.672029887566374,5.107243248366449,0,0,10.214486496732897
0,21,64.24455394584984,2.338419435834851,6.210489198034286,1,0,22.42097839606857
0,22,14.646855368464392,61.83378734135718,0.8371597215681119,0,0,1.6743194431362238
1,1,39.86880588723569,22.172890950093787,0.36035125874992546,0,0,0.7207025174998509
1,2,99.77126311437627,27.25957082769205,6.357861201766576,1,0,22.71572240353315
1,3,72.92974623406292,32.245612683321276,1.0142641046385616,0,0,2.0285282092771233
1,4,62.989711443046104,52.943454349026126,6.899553178774205,1,0,23.79910635754841
1,5,16.519598411259086,10.596463814867121,4.70494883184115,0,0,9.4098976636823
1,6,16.04991680354501,35.503610669393204,1.6634628079467977,0,0,3.3269256158935954
1,7,8.315620344773217,39.506785355208415,2.5744819290347727,0,0,5.148963858069545
1,8,89.7357549020284,2.40599249958304,4.434707975326263,0,0,8.869415950652526
1,9,64.49017940959004,41.80617659378734,0.6320283903808581,0,1,9.264056780761717
1,10,73.55298036293422,12.365541560405857,1.3056295727989795,0,0,2.611259145597959
1,11,2.3069882250813176,5.876475808798341,4.136250602317693,0,0,8.272501204635386
1,12,100.78745483619338,64.03272331333001,0.11611480249499306,0,0,0.23222960498998613
1,13,86.81831505434604,63.46770582687186,1.5854704263855657,0,0,3.1709408527711314
1,14,22.739787036815862,55.36260258018919,1.22056500303494,0,0,2.44113000606988
1,15,19.099291741709255,20.361855603726486,2.707147424103762,0,1,13.414294848207524
1,16,17.13441742153493,6.0107357682860645,2.3874644573518093,0,0,4.774928914703619
1,17,31.43136373596131,45.32442989899424,6.472855327949939,1,1,30.94571065589988
1,18,54.857496753885954,30.536445859514696,4.6198883222392535,0,0,9.239776644478507
1,19,48.18350580923795,8.560466688692719,3.886405681196236,0,0,7.772811362392472
1,20,30.96538530687855,33.560361013917124,1.6929660363031618,0,0,3.3859320726063236
1,21,61.36639712290128,2.2986486226610254,6.280510305673287,1,1,30.561020611346574
1,22,14.737200683375931,65.52865051008511,2.3732085373409046,0,0,4.746417074681809
2,1,40.651718235661036,22.618367959943566,1.1864492268026474,0,0,2.372898453605295
2,2,100.14700238989508,27.779243141937513,6.553083419125467,1,0,23.106166838250935
2,3,71.90970915169518,32.59399322906278,3.990428190625555,0,0,7.98085638125111
